dzienne_zarazenia,dzienna_smierc,lacznie_1_dawka,lacznie_2_dawka,teraz_zarazeni,ozdrowiency
39208,1153,28218464,27624097,282490,39957
39238,1206,28218464,27624097,281133,39389
38841,1113,28218464,27624097,280077,38784
38890,1162,28218464,27624097,278366,39439
38492,1138,28218464,27624097,277019,38701
38484,1158,28218464,27624097,275703,38642
37986,1158,28218464,27624097,274295,38236
38029,1174,28218464,27624097,273037,38113
37610,1118,28218464,27624097,271473,38056
37768,1103,28218464,27624097,270345,37793
37405,1152,28218464,27624097,268783,37815
37012,1090,28218464,27624097,267303,37402
37225,1112,28218464,27624097,266019,37397
36750,1105,28218464,27624097,264810,36854
36724,1130,28218464,27624097,263481,36923
36584,1125,28218464,27624097,262474,36466
36377,1055,28218464,27624097,260960,36836
35837,1050,28218464,27624097,259383,36364
35810,1078,28218464,27624097,258181,35934
36024,1085,28218464,27624097,256987,36133
35539,1141,28218464,27624097,255775,35610
35552,1071,28218464,27624097,254555,35701
35094,1023,28218464,27624097,253066,35560
35106,1095,28218464,27624097,251817,35260
34717,1069,28218464,27624097,250622,34843
35117,989,28218464,27624097,249942,34808
34859,1074,28218464,27624097,248860,34867
34444,988,28218464,27624097,247795,34521
33951,1065,28218464,27624097,246095,34586
33838,938,28218464,27624097,244872,34123
33631,998,28218464,27624097,243312,34193
33802,984,28218464,27624097,242406,33724
33495,1032,28218464,27624097,240702,34167
33332,1089,28218464,27624097,239311,33634
33080,1032,28218464,27624097,237802,33557
32964,994,28218464,27624097,236787,32985
33069,965,28218464,27624097,236085,32806
32431,968,28218464,27624097,234831,32717
32550,1036,28218464,27624097,233569,32776
32036,909,28218464,27624097,232098,32598
32234,988,28218464,27624097,231019,32325
31779,937,28218464,27624097,229669,32192
31671,953,28218464,27624097,228395,31992
31467,972,28218464,27624097,226767,32123
31748,862,28218464,27624097,225934,31719
31106,939,28218464,27624097,224689,31412
31478,970,28218464,27624097,224094,31103
31022,967,28218464,27624097,222850,31299
30701,887,28218464,27624097,221674,30990
30744,879,28218464,27624097,220825,30714
30473,921,28218464,27624097,219741,30636
30205,963,28218464,27624097,218275,30708
