Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-09-17,1.69483,1.70127,1.68637,1.70125
2019-09-18,1.70083,1.71007,1.68607,1.70096
2019-09-19,1.70215,1.70655,1.69355,1.69609
2019-09-20,1.6977,1.69839,1.66015,1.66059
2019-09-23,1.66258,1.66732,1.63996,1.64446
2019-09-24,1.64451,1.65411,1.6378,1.64363
2019-09-25,1.64256,1.66403,1.63479,1.65967
2019-09-26,1.66094,1.66233,1.64812,1.65431
2019-09-27,1.65398,1.67584,1.65055,1.66748
2019-09-30,1.67051,1.70273,1.66641,1.69336
2019-10-01,1.6934,1.70615,1.67686,1.68848
2019-10-02,1.68674,1.6929,1.66996,1.67763
2019-10-03,1.67746,1.68694,1.66769,1.68136
2019-10-04,1.68146,1.69651,1.67745,1.68911
2019-10-07,1.68058,1.70413,1.68058,1.69744
2019-10-08,1.69687,1.70419,1.67863,1.68179
2019-10-09,1.68365,1.69231,1.67984,1.68611
2019-10-10,1.68595,1.71216,1.67407,1.7088
2019-10-11,1.70938,1.74289,1.70129,1.72668
2019-10-14,1.72256,1.72852,1.7135,1.71883
2019-10-15,1.7187,1.74116,1.71112,1.73568
2019-10-16,1.73528,1.7407,1.72375,1.73452
2019-10-17,1.73503,1.75397,1.72909,1.74082
2019-10-18,1.74035,1.75042,1.73776,1.74899
2019-10-21,1.74664,1.75887,1.74385,1.75512
2019-10-22,1.75513,1.7602,1.74708,1.75165
2019-10-23,1.75032,1.75183,1.7374,1.74576
2019-10-24,1.74542,1.75448,1.72561,1.72566
2019-10-25,1.72612,1.72994,1.70991,1.71962
2019-10-28,1.72393,1.74282,1.71719,1.74016
2019-10-29,1.74048,1.75242,1.73403,1.74991
2019-10-30,1.75114,1.7571,1.74289,1.75024
2019-10-31,1.75124,1.75389,1.72713,1.72907
2019-11-01,1.72982,1.74216,1.72871,1.73431
2019-11-04,1.73444,1.73899,1.72565,1.72738
2019-11-05,1.72618,1.75297,1.72604,1.75018
2019-11-06,1.75104,1.75153,1.73768,1.74106
2019-11-07,1.74145,1.77554,1.73741,1.76674
2019-11-08,1.76735,1.77779,1.76068,1.77139
2019-11-11,1.77166,1.78375,1.75955,1.77514
2019-11-12,1.77477,1.78037,1.76067,1.7663
2019-11-13,1.76599,1.76637,1.74832,1.7524
2019-11-14,1.75456,1.75471,1.74221,1.74868
2019-11-15,1.74852,1.76381,1.74833,1.76251
2019-11-18,1.76157,1.77116,1.75158,1.75209
2019-11-19,1.75136,1.76194,1.74785,1.75555
2019-11-20,1.75558,1.75757,1.74111,1.752
2019-11-21,1.74821,1.76163,1.74787,1.7574
2019-11-22,1.75812,1.76037,1.74677,1.75415
2019-11-25,1.75655,1.76179,1.75431,1.76116
2019-11-26,1.76131,1.76519,1.74977,1.75217
